Year,Country,Arable-Land
Lao.PDR,2012,6.282495667
Lao.PDR,2013,6.451473137
Korea..Rep.,1991,19.97719262
Korea..Rep.,1992,19.67654987
Korea..Rep.,1993,19.43810906
Korea..Rep.,1994,19.12709932
Korea..Rep.,1995,18.48434584
Korea..Rep.,1996,18.09040017
Korea..Rep.,1997,17.85195936
Korea..Rep.,1998,17.70682148
Korea..Rep.,1999,17.61351856
Korea..Rep.,2000,17.8104914
Korea..Rep.,2001,17.45916891
Korea..Rep.,2002,17.29517512
Korea..Rep.,2003,17.13842975
Korea..Rep.,2004,17.07291882
Korea..Rep.,2005,16.9643779
Korea..Rep.,2006,16.71139554
Korea..Rep.,2007,16.47750722
Korea..Rep.,2008,16.12903226
Korea..Rep.,2009,15.81874356
Korea..Rep.,2010,15.49933148
Korea..Rep.,2011,15.30391854
Korea..Rep.,2012,15.63636364
Korea..Rep.,2013,15.3468902
Korea..Dem..Rep.,1991,19.10140354
Korea..Dem..Rep.,1992,19.10140354
Korea..Dem..Rep.,1993,19.10140354
Korea..Dem..Rep.,1994,19.93189934
Korea..Dem..Rep.,1995,19.93189934
Korea..Dem..Rep.,1996,19.10140354
Korea..Dem..Rep.,1997,19.10140354
Korea..Dem..Rep.,1998,19.10140354
Korea..Dem..Rep.,1999,19.10140354
Korea..Dem..Rep.,2000,19.10140354
Korea..Dem..Rep.,2001,19.10140354
Korea..Dem..Rep.,2002,19.10140354
Korea..Dem..Rep.,2003,19.10140354
Korea..Dem..Rep.,2004,19.10140354
Korea..Dem..Rep.,2005,19.51665144
Korea..Dem..Rep.,2006,19.51665144
Korea..Dem..Rep.,2007,19.51665144
Korea..Dem..Rep.,2008,19.93189934
Korea..Dem..Rep.,2009,19.93189934
Korea..Dem..Rep.,2010,19.93189934
Korea..Dem..Rep.,2011,19.51665144
Korea..Dem..Rep.,2012,19.51665144
Korea..Dem..Rep.,2013,19.51665144
Kiribati,1991,2.469135802
Kiribati,1992,2.469135802
Kiribati,1993,2.469135802
Kiribati,1994,2.469135802
Kiribati,1995,2.469135802
Kiribati,1996,2.469135802
Kiribati,1997,2.469135802
Kiribati,1998,2.469135802
Kiribati,1999,2.469135802
Kiribati,2000,2.469135802
Kiribati,2001,2.469135802
Kiribati,2002,2.469135802
Kiribati,2003,2.469135802
Kiribati,2004,2.469135802
Kiribati,2005,2.469135802
Kiribati,2006,2.469135802
Kiribati,2007,2.469135802
Kiribati,2008,2.469135802
Kiribati,2009,2.469135802
Kiribati,2010,2.469135802
Kiribati,2011,2.469135802
Kiribati,2012,2.469135802
Kiribati,2013,2.469135802
Japan,1991,13.00054855
Japan,1992,12.92923752
Japan,1993,12.8496983
Japan,1994,12.78113001
Japan,1995,12.69884805
Japan,1996,12.6255144
Japan,1997,12.53497942
Japan,1998,12.44170096
Japan,1999,12.35390947
Japan,2000,12.27434842
Japan,2001,12.1920439
Japan,2002,12.12345679
Japan,2003,12.06310014
Japan,2004,12.01371742
Japan,2005,11.96159122
Japan,2006,11.91495199
Japan,2007,11.86831276
Japan,2008,11.81893004
Japan,2009,11.78052126
Japan,2010,11.7459882
Japan,2011,11.66902114
Japan,2012,11.64691683
Japan,2013,11.62222954
Indonesia,1991,9.980845344
Indonesia,1992,9.991333484
Indonesia,1993,10.0073417
Indonesia,1994,9.453678301
Indonesia,1995,9.572911894
Indonesia,1996,9.903564312
Indonesia,1997,10.21213643
Indonesia,1998,10.32253791
Indonesia,1999,10.87454528
Indonesia,2000,11.31615118
Indonesia,2001,11.15054897
Indonesia,2002,11.08486009
Indonesia,2003,12.36827724
Indonesia,2004,13.61581391
Indonesia,2005,12.66636122
Indonesia,2006,11.86815856
Indonesia,2007,12.14416225
Indonesia,2008,12.53056741
Indonesia,2009,13.02737405
Indonesia,2010,13.02737405
Indonesia,2011,12.97217331
Indonesia,2012,12.97217331
Indonesia,2013,12.97217331
Hong.Kong.SAR..China,1991,6.060606061
Hong.Kong.SAR..China,1992,6.060606061
Hong.Kong.SAR..China,1993,6.060606061
Hong.Kong.SAR..China,1994,6.060606061
Hong.Kong.SAR..China,1995,5.714285714
Hong.Kong.SAR..China,1996,5.714285714
Hong.Kong.SAR..China,1997,4.761904762
Hong.Kong.SAR..China,1998,4.761904762
Hong.Kong.SAR..China,1999,4.761904762
Hong.Kong.SAR..China,2000,4.761904762
Hong.Kong.SAR..China,2001,4.761904762
Hong.Kong.SAR..China,2002,4.761904762
Hong.Kong.SAR..China,2003,4.761904762
Hong.Kong.SAR..China,2004,4.761904762
Hong.Kong.SAR..China,2005,4.761904762
Hong.Kong.SAR..China,2006,3.80952381
Hong.Kong.SAR..China,2007,3.80952381
Hong.Kong.SAR..China,2008,3.80952381
Hong.Kong.SAR..China,2009,3.80952381
Hong.Kong.SAR..China,2010,3.333333333
Hong.Kong.SAR..China,2011,3.333333333
Hong.Kong.SAR..China,2012,2.952380952
Hong.Kong.SAR..China,2013,2.952380952
Guam,1991,3.703703704
Guam,1992,3.703703704
Guam,1993,3.703703704
Guam,1994,3.703703704
Guam,1995,3.703703704
Guam,1996,3.703703704
Guam,1997,3.703703704
Guam,1998,3.703703704
Guam,1999,3.703703704
Guam,2000,3.703703704
Guam,2001,3.703703704
Guam,2002,3.703703704
Guam,2003,3.703703704
Guam,2004,3.703703704
Guam,2005,3.703703704
Guam,2006,3.703703704
Guam,2007,1.851851852
Guam,2008,1.851851852
Guam,2009,1.851851852
Guam,2010,1.851851852
Guam,2011,1.851851852
Guam,2012,1.851851852
Guam,2013,1.851851852
French.Polynesia,1991,0.546448087
French.Polynesia,1992,0.546448087
French.Polynesia,1993,0.546448087
French.Polynesia,1994,0.819672131
French.Polynesia,1995,0.819672131
French.Polynesia,1996,0.819672131
French.Polynesia,1997,0.819672131
French.Polynesia,1998,0.819672131
French.Polynesia,1999,0.819672131
French.Polynesia,2000,0.819672131
French.Polynesia,2001,0.819672131
French.Polynesia,2002,0.819672131
French.Polynesia,2003,0.819672131
French.Polynesia,2004,0.819672131
French.Polynesia,2005,0.819672131
French.Polynesia,2006,0.819672131
French.Polynesia,2007,0.819672131
French.Polynesia,2008,0.819672131
French.Polynesia,2009,0.683060109
French.Polynesia,2010,0.683060109
French.Polynesia,2011,0.683060109
French.Polynesia,2012,0.683060109
French.Polynesia,2013,0.683060109
Fiji,1991,9.359605911
Fiji,1992,9.852216749
Fiji,1993,9.852216749
Fiji,1994,9.852216749
Fiji,1995,9.852216749
Fiji,1996,9.852216749
Fiji,1997,9.852216749
Fiji,1998,9.304871374
Fiji,1999,9.304871374
Fiji,2000,9.304871374
Fiji,2001,9.304871374
Fiji,2002,9.304871374
Fiji,2003,9.304871374
Fiji,2004,9.304871374
Fiji,2005,9.304871374
Fiji,2006,9.304871374
Fiji,2007,9.250136836
Fiji,2008,9.250136836
Fiji,2009,9.173508484
Fiji,2010,9.031198686
Fiji,2011,9.031198686
Fiji,2012,9.031198686
Fiji,2013,9.031198686
China,1991,13.30120097
China,1992,13.09083162
China,1993,12.92040583
China,1994,12.85649615
China,1995,12.73721166
China,1996,12.71155479
China,1997,12.72870392
China,1998,12.76598464
China,1999,12.70740065
China,2000,12.58705058
China,2001,12.36465184
China,2002,12.19614399
China,2003,11.89789831
China,2004,11.88724691
China,2005,11.95648356
China,2006,11.57835027
China,2007,11.55544995
China,2008,11.51614533
China,2009,11.47396453
China,2010,11.42070625
