Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,
Guam,GUM,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,3.703703704,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,,
French Polynesia,PYF,0.546448087,0.546448087,0.546448087,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.819672131,0.683060109,0.683060109,0.683060109,0.683060109,0.683060109,,
Fiji,FJI,9.359605911,9.852216749,9.852216749,9.852216749,9.852216749,9.852216749,9.852216749,9.304871374,9.304871374,9.304871374,9.304871374,9.304871374,9.304871374,9.304871374,9.304871374,9.304871374,9.250136836,9.250136836,9.173508484,9.031198686,9.031198686,9.031198686,9.031198686,,
China,CHN,13.30120097,13.09083162,12.92040583,12.85649615,12.73721166,12.71155479,12.72870392,12.76598464,12.70740065,12.58705058,12.36465184,12.19614399,11.89789831,11.88724691,11.95648356,11.57835027,11.55544995,11.51614533,11.47396453,11.42070625,11.34614465,11.28223471,11.2609314,,
Cambodia,KHM,20.96079764,20.96079764,21.05143893,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,20.96079764,21.52730569,21.52730569,22.09381373,22.09381373,22.66032178,22.66032178,23.22682982,23.48175844,,
Brunei Darussalam,BRN,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.379506641,0.569259962,0.569259962,0.759013283,0.759013283,0.759013283,0.759013283,0.948766603,,
Australia,AUS,5.94873931,6.143993335,6.02684092,6.15701027,5.21940044,4.723064707,5.189982167,5.734610729,5.92661052,6.157530948,6.483344832,6.221964776,6.123166239,6.214675293,6.430626245,6.211030551,5.745675123,5.724717858,5.937805084,5.541048905,6.206214285,6.132668602,6.016297203,,
American Samoa,ASM,5,6,6,6,7.5,10,10,12,12.5,12.5,12.5,12.5,16.7,16.5,16.5,16.5,15,14.8,15,15,15,15,15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
