"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Bosnia and Herzegovina","BIH","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","75.5","67.5","57.3","58.4","61.5","77.7","81.6","78.8","56.6","65.7","71.5","68.51","104.22","94.42","101.35","87.74","95.79","100.35","92.22","","","","","","","","","","","","79.77","71.12","60.47","61.69","65.04","82.03","86.45","83.38","59.99","69.54","75.75","72.36","104.38","96.1","99.51","92.94","101.39","106.55","97.46","100.13","83.62","110.9","","",
"Belarus","BLR","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","77.8","102.2","70.2","76.1","87.5","69","65.9","59.2","75.85","74.72","79.35","85.62","105.6","94.63","99.77","104.45","119.09","112.55","107.73","","","","","","","","","","","","77.82","102.15","70.22","76.11","87.52","69.01","65.92","59.17","75.85","74.72","79.35","85.62","105.6","94.63","99.77","104.45","119.71","111.87","109.01","102.02","111.95","96.04","","",
"Belize","BLZ","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","13.01","10.61","11.69","14.75","15.72","18.57","21.05","24.02","21.97","24.05","25.11","26.2","27.96","30.98","28.58","26.44","33.34","38.14","34.35","40.04","39.52","42.39","38.21","38.16","37.57","38.44","43.98","41.86","46.8","50.58","49.01","59.65","68.57","61.42","67.04","76.15","78.54","75.92","81.87","90.85","90.35","79.65","83.48","98.89","96.26","104.84","96.06","95.47","93.78","92.09","85.22","103.39","102.92","","",
"Bermuda","BMU","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","82.77","72.15","85.83","90.84","96.59","93.26","83.07","80.99","63.72","98.78","66.28","59.14","76.29","83.41","83.06","85.54","81.2","84.44","85.2","76.33","79.98","83.86","83.49","79.37","83.2","82.31","81.66","90.56","106.48","103.75","107.16","107.05","111","115.94","113.51","105.12","117.46","107.37","111.59","107.64","117.04","103.33","105.53","103.46","95.63","100.91","115.11","115.4","123.95","128.42","125.97","132.09","131.73","","",
"Bolivia","BOL","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","20.97","21.78","23.74","24.62","25.98","27.06","28.07","31.02","30.61","31.94","33.52","35.92","40.52","40.98","43.55","43.71","41.59","41","39.97","41.41","42.93","44.5","30.75","42.49","48.55","50.57","51.57","52.56","53.33","53.75","58.46","55.92","60.51","64.5","71.6","74.88","76.18","77.87","78.85","85.17","88.28","91.76","98.24","94.86","101.86","103.28","102.68","102.54","122.3","114.07","116.87","126.79","133.1","","",
"Brazil","BRA","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","23.31","24.67","24.82","24.47","29.29","26.84","29.56","29.61","30.41","31.12","33.58","34.71","32.74","36.25","36.6","37.55","41.21","39.4","41.11","45.45","47.54","48.78","47.47","52.22","58.65","53.92","59.99","60.94","63.55","59.02","59.91","63.86","62.72","68.08","69.97","66.04","70.39","71.16","75.73","77.32","82.78","87.51","95.49","99","97.96","103.04","112.35","121.79","118.79","126.58","135.28","130.58","140.33","","",
"Barbados","BRB","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","271.63","283.58","326.23","289.48","329.99","298.07","347.83","272.67","251.42","286.95","249.38","217.93","207.73","188.84","173.08","183.71","208.19","185.77","211.79","242.16","198","171.98","156.97","167.53","160.82","181.31","146.41","145.63","123.4","131.4","129.73","119.44","106.89","106.17","109.28","136.36","132.46","113.71","125.1","128.7","107.3","106.36","104.35","95.53","109.56","94.91","95.92","84.34","93.58","77.3","78.88","83.42","83.86","","",
"Brunei Darussalam","BRN","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","85.44","83.19","73.95","72.55","62.93","61.84","67.6","63.53","73.76","72.65","61.28","60.09","77.22","95.43","95.5","81.99","68.57","68.15","69.99","66.65","66.24","68.34","73.13","65.72","50.45","53.4","51.98","56.26","53.5","57.5","57.41","54.79","60.23","62.27","67.77","78.18","68.54","65.04","77.22","91.51","94.36","89.72","94.1","105.22","100.01","94.77","92.84","92.43","91.73","98.26","96.05","100.57","103.68","","",
"Bhutan","BTN","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","28.93","29.85","30.75","31.57","32.39","33.15","34.01","34.86","35.71","36.45","37.34","38.15","39.01","39.83","40.72","41.58","42.5","43.67","44.78","47.9","52.21","52.38","53.43","59.36","54.89","56.18","63.88","51.31","51.77","61.91","62.07","63.79","66.57","65.15","67.04","70.69","73.66","71.93","84.26","60.99","61.33","60.92","67.78","79.04","107.23","113.74","114.41","89.9","87.61","94.33","113.95","101.43","97.46","","",
"Botswana","BWA","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","72.35","45.85","48.74","53.23","51.62","55.5","69.02","56.45","67.41","50.37","90.52","78.56","63.46","94.15","82.14","104.64","91.51","79.98","68.91","80.75","85.12","72.58","68.47","63.77","69.72","70.83","69.57","100.19","96.22","91.6","93.05","73.43","86.28","94.63","90.56","108.85","93.48","74.51","85.22","91.58","98.3","102.75","104.65","109.23","99.29","91.48","74.9","82.63","79.86","89.87","105.36","98.83","96.15","","",
"Central African Republic","CAF","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","51.28","51.8","53.38","52.01","55.68","55.18","59.55","62.37","64.94","64.62","63.78","67.56","69.11","74.96","74.1","76.07","75.5","72.81","76.82","76.28","76.67","79.39","75.95","73.66","69.69","77.91","71.22","76.88","76.94","76.62","75.88","76.65","75.95","82.05","86.1","95.91","100.5","102.68","96.85","100.47","104.23","100.87","94.89","98.64","99.65","101.72","106.89","109.59","115.3","111.6","117.43","118.92","122.11","","",
"Canada","CAN","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","24.71","37.69","43.41","38.2","42.59","50.33","40.04","45.27","47.85","42.28","51.99","46.34","48.84","42.91","51.23","56.41","57.85","61.58","56.2","59.01","67.59","72.36","66.89","64.32","70.99","80.45","76.94","58.31","70.48","82.32","80.99","76.14","82.53","85.25","87.18","92.07","87.6","93.74","101.54","96.11","79.29","70.8","90.56","97.82","102.51","99.67","97.38","114.43","110.52","107.1","108.02","120.38","142.44","","",
"Central Europe and the Baltics","CEB","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.7594741621347","105.352657930146","92.6726172136782","101.233959521322","101.580636572459","102.409297758065","101.723270715096","97.7612580963675","91.367625021091","102.716298296044","93.9746259114135","89.1670179778955","112.465998710952","96.4079094769422","91.1260918121056","82.1433155242782","102.13419211487","99.3609596939707","92.416740140689","101.231632611795","92.5603194775832","104.319430732347","","",
"Switzerland","CHE","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","112.42","122.21","113.4","119.19","92.06","110.17","133.59","113.34","121.16","109.96","116.64","96.44","117.16","98.79","118.38","105.82","97.06","109.8","129.06","107.46","107.84","147.66","112.59","129.07","115.99","120.56","98.19","134.54","124.58","118.68","103.25","131","115.52","105.73","105.31","123.57","103.49","123.5","97.48","118.73","94.93","102.27","89.27","108.59","97.23","94.18","104.04","101.81","107.68","93.06","115.4","99.18","89.37","","",
"Channel Islands","CHI","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","29.74","30.84","30.28","31.2","28.56","32.79","33.01","34.16","29.13","30.99","34.72","35.08","30.65","32.31","32.48","32.61","38.39","37.43","41.71","41.05","43.39","43.99","40.95","45.31","45.44","47.23","49.75","53.42","57.84","60.77","63.3","66.72","69.58","74.65","78.79","81.68","79.12","80.93","79.99","81.98","89","90.6","94.29","95.75","100.73","103.52","96.62","98.7","100.96","109.81","117.33","112.52","117.23","","",
